species,genus,sc_mean,sc_std,sc_p10,sc_p50,sc_p90,ch0_mean,ch0_std,ch1_mean,ch1_std,ch2_mean,ch2_std,ch3_mean,ch3_std,ch4_mean,ch4_std,ch5_mean,ch5_std,ch6_mean,ch6_std,ch7_mean,ch7_std,ch8_mean,ch8_std,ch9_mean,ch9_std,ch10_mean,ch10_std,ch11_mean,ch11_std
cannabina,Linaria,4303.036977294322,371.8921558014272,3812.9653026909036,4255.7714864544005,4806.794169862101,0.6599599123001099,0.4430956542491913,0.22516760230064392,0.28634265065193176,0.1448315531015396,0.2833072543144226,0.09929998219013214,0.12774686515331268,0.26610058546066284,0.38953402638435364,0.3117532730102539,0.44275936484336853,0.03426075354218483,0.04728211835026741,0.002125874161720276,0.0014256148133426905,0.0013814544072374701,0.001112411031499505,0.0013156632194295526,0.0012653261655941606,0.004072431940585375,0.004273429978638887,0.21273888647556305,0.23990540206432343
cannabina,Linaria,3567.150700926669,668.6628373087357,3085.1314161596056,3181.803770237335,4696.262411527898,0.008358502760529518,0.010447016917169094,0.02851323038339615,0.0639389380812645,0.10300331562757492,0.26389601826667786,0.11452721059322357,0.21109892427921295,0.22281646728515625,0.3281978964805603,0.37309569120407104,0.37072429060935974,0.5685818791389465,0.4163322150707245,0.47759392857551575,0.40404608845710754,0.07339200377464294,0.10169495642185211,0.005785136949270964,0.00432309415191412,0.0030372715555131435,0.0024782896507531404,0.003617438254877925,0.003469918854534626
cannabina,Linaria,4077.2714596652445,411.27172556801224,3578.023941219036,4143.057447913689,4482.9043323015885,0.5991126894950867,0.4294448792934418,0.48139941692352295,0.3289653956890106,0.24594131112098694,0.30413466691970825,0.27414411306381226,0.4103807508945465,0.09904972463846207,0.22653622925281525,0.016265034675598145,0.050154756754636765,0.004297887906432152,0.011481468565762043,0.00244622933678329,0.004464410245418549,0.0014951335033401847,0.002047877060249448,0.0037572106812149286,0.0033241761848330498,0.03451709449291229,0.039859045296907425,0.3317435085773468,0.4008234739303589
cannabina,Linaria,4349.25685553011,275.97717030365345,4002.0153848926043,4248.831778875278,4649.756046220976,0.4014367461204529,0.4734553098678589,0.08669371157884598,0.06946250796318054,0.2985280752182007,0.38164061307907104,0.2864919900894165,0.3032497763633728,0.2873409390449524,0.28080254793167114,0.46729373931884766,0.4933454990386963,0.11081569641828537,0.11639764904975891,0.007349436171352863,0.00849132053554058,0.005045882426202297,0.005157135892659426,0.0050506433472037315,0.003276785835623741,0.01139463298022747,0.010160092264413834,0.2354179173707962,0.33090755343437195
cannabina,Linaria,3713.9741282096556,568.3672446659173,3138.1774698264157,3700.9947401659415,4486.850561954826,0.2360840141773224,0.3532346189022064,0.10803548991680145,0.11580720543861389,0.13728618621826172,0.23470467329025269,0.17823046445846558,0.2893821895122528,0.1910460740327835,0.26931899785995483,0.26421600580215454,0.36306634545326233,0.3223319351673126,0.35429301857948303,0.4606528580188751,0.4538821876049042,0.07454269379377365,0.0904364287853241,0.009583006612956524,0.007193904835730791,0.03682709485292435,0.050298020243644714,0.28506696224212646,0.4266837239265442
cannabina,Linaria,4135.4238634021085,307.39825482326233,3786.7108058016383,4107.0272392991565,4607.682856714864,0.6697148084640503,0.3866863548755646,0.5466126799583435,0.29439181089401245,0.3207302689552307,0.32895755767822266,0.21657109260559082,0.2986203134059906,0.10088840126991272,0.14004400372505188,0.14195477962493896,0.23239831626415253,0.19552238285541534,0.32560622692108154,0.17714540660381317,0.29996612668037415,0.17350921034812927,0.29603153467178345,0.18317706882953644,0.31727468967437744,0.20364713668823242,0.3609825670719147,0.2678864896297455,0.3028430938720703
cannabina,Linaria,4401.554152862306,532.8936168389018,3662.5280080940483,4453.66946569466,5097.409360641085,0.42331627011299133,0.3979734480381012,0.42034804821014404,0.3617306649684906,0.26608970761299133,0.3018885850906372,0.27711284160614014,0.34006428718566895,0.29069584608078003,0.35855671763420105,0.24877874553203583,0.37713661789894104,0.1533796638250351,0.26007166504859924,0.10205861181020737,0.20956727862358093,0.08693245053291321,0.18393686413764954,0.13306891918182373,0.25362369418144226,0.209102600812912,0.29698407649993896,0.3205539286136627,0.416902095079422
cannabina,Linaria,3281.3331366196176,445.1686116663447,2722.6020659853534,3216.7610224429723,3899.527273877198,0.25216108560562134,0.39619261026382446,0.1646287739276886,0.2499699890613556,0.13722649216651917,0.2079039067029953,0.389821320772171,0.3999139368534088,0.23922234773635864,0.35811561346054077,0.08268716931343079,0.1667044460773468,0.088849738240242,0.1350058913230896,0.27161115407943726,0.34728339314460754,0.4426332116127014,0.4412861168384552,0.3635953366756439,0.3952305018901825,0.15578143298625946,0.2333623319864273,0.09333959966897964,0.1638895720243454
cannabina,Linaria,3267.3177758573147,122.24253349448108,3137.38189587819,3259.5203572765454,3409.847932898196,0.002285589696839452,0.0016649712342768908,0.0023431775625795126,0.001884013181552291,0.0015288761351257563,0.0013146847486495972,0.0018717332277446985,0.002170839114114642,0.010508851148188114,0.012905539944767952,0.08175572007894516,0.08409501612186432,0.38997122645378113,0.3135266900062561,0.5042154788970947,0.24257363379001617,0.9077654480934143,0.183675155043602,0.7117705941200256,0.23638717830181122,0.17155195772647858,0.13382041454315186,0.013376100920140743,0.015547097660601139
cannabina,Linaria,3922.281537913113,477.33925751626924,3340.758010350135,4061.9159347718137,4505.150605512161,0.3885965347290039,0.37051111459732056,0.5060665607452393,0.3500627875328064,0.24883975088596344,0.3327542841434479,0.109273262321949,0.18305513262748718,0.10491454601287842,0.13894395530223846,0.29685357213020325,0.41458067297935486,0.3333227038383484,0.44011905789375305,0.2271687388420105,0.2817976474761963,0.22224991023540497,0.30776917934417725,0.2108669877052307,0.3198337256908417,0.11569210141897202,0.16110451519489288,0.1184772253036499,0.0980466976761818
cannabina,Linaria,3879.261945025867,477.1675705124844,3287.476549348849,3957.267991026443,4377.34939744999,0.6698325276374817,0.4095456600189209,0.3422635793685913,0.28240230679512024,0.07311540096998215,0.04858354106545448,0.19806477427482605,0.34617727994918823,0.21779213845729828,0.25273966789245605,0.2909063696861267,0.40966475009918213,0.3084617853164673,0.44135549664497375,0.2271190732717514,0.3252248764038086,0.20735199749469757,0.3072042763233185,0.19070735573768616,0.30801820755004883,0.14841781556606293,0.2566213607788086,0.21489660441875458,0.24301965534687042
cannabina,Linaria,4228.7611335305955,219.15575749612947,3993.3881007718282,4183.506255992965,4522.687751335723,0.2716256082057953,0.3596512973308563,0.4443346858024597,0.42958277463912964,0.19797669351100922,0.3137746751308441,0.2977467179298401,0.3497154116630554,0.39640915393829346,0.4776456654071808,0.06133519113063812,0.08978321403265,0.01021389290690422,0.024605276063084602,0.004356442019343376,0.00816228985786438,0.0026630668435245752,0.002614575205370784,0.0016831157263368368,0.0011952295899391174,0.0010660408297553658,0.0011043441481888294,0.010852723382413387,0.016164148226380348
cannabina,Linaria,3667.5673813229378,311.68532514035155,3177.164081671635,3653.8120890945183,4055.787594408567,0.2238589972257614,0.24960985779762268,0.20059292018413544,0.2940222918987274,0.22710473835468292,0.31940317153930664,0.16498558223247528,0.26879873871803284,0.13247865438461304,0.21778148412704468,0.12665660679340363,0.2159186452627182,0.13937392830848694,0.25002744793891907,0.203152596950531,0.32742318511009216,0.24570144712924957,0.3578413426876068,0.29591310024261475,0.30894580483436584,0.6393083930015564,0.3416522145271301,0.5380675792694092,0.3654376268386841
cannabina,Linaria,3470.3887937619115,418.8805071389114,2859.430730861955,3629.837458067808,3900.949287373865,0.39990729093551636,0.40964967012405396,0.3088464140892029,0.38166457414627075,0.1840648055076599,0.279055118560791,0.32485708594322205,0.42424947023391724,0.268130362033844,0.3687933683395386,0.12648314237594604,0.1272423416376114,0.13125790655612946,0.10243306308984756,0.19042283296585083,0.1581415981054306,0.16395913064479828,0.17485342919826508,0.16707251965999603,0.26929527521133423,0.10501225292682648,0.12240266799926758,0.2564087212085724,0.36587026715278625
